2012-02-24	1
2012-02-25	3
2012-02-26	0
2012-02-27	3
2012-02-28	1
2012-02-29	2
2012-03-01	1
2012-03-02	2
2012-03-03	3
2012-03-04	5
2012-03-05	3
2012-03-06	2
2012-03-07	1
2012-03-08	4
2012-03-09	3
2012-03-10	4
2012-03-11	2
2012-03-12	2
2012-03-13	3
2012-03-14	3
2012-03-15	4
2012-03-16	4
2012-03-17	5
2012-03-18	5
2012-03-19	2
2012-03-20	2
2012-03-21	4
2012-03-22	2
2012-03-23	3
2012-03-24	3
2012-03-25	3
2012-03-26	1
2012-03-27	5
2012-03-28	3
2012-03-29	1
2012-03-30	0
2012-03-31	4
2012-04-01	4
2012-04-02	2
2012-04-03	2
2012-04-04	3
2012-04-05	1
2012-04-06	3
2012-04-07	3
2012-04-08	3
2012-04-09	3
2012-04-10	1
2012-04-11	1
2012-04-12	4
2012-04-13	4
2012-04-14	4
2012-04-15	2
2012-04-16	3
2012-04-17	3
2012-04-18	2
2012-04-19	2
2012-04-20	3
2012-04-21	2
2012-04-22	3
2012-04-23	3
2012-04-24	2
2012-04-25	5
2012-04-26	4
2012-04-27	3
2012-04-28	1
2012-04-29	0
2012-04-30	0
2012-05-01	4
2012-05-02	2
2012-05-03	5
2012-05-04	2
2012-05-05	2
2012-05-06	4
2012-05-07	4
2012-05-08	4
2012-05-09	3
2012-05-10	1
2012-05-11	1
2012-05-12	1
2012-05-13	0
2012-05-14	1
2012-05-15	1
2012-05-16	3
2012-05-17	2
2012-05-18	1
2012-05-19	3
2012-05-20	2
2012-05-21	3
2012-05-22	6
2012-05-23	1
2012-05-24	0
2012-05-25	1
2012-05-26	2
2012-05-27	2
2012-05-28	4
2012-05-29	3
2012-05-30	2
2012-05-31	7
2012-06-01	2
2012-06-02	1
2012-06-03	3
2012-06-04	4
2012-06-05	2
2012-06-06	4
2012-06-07	4
2012-06-08	2
2012-06-09	3
2012-06-10	3
2012-06-11	4
2012-06-12	6
2012-06-13	3
2012-06-14	11
2012-06-15	5
2012-06-16	4
2012-06-17	4
2012-06-18	4
2012-06-19	5
2012-06-20	4
2012-06-21	5
2012-06-22	8
2012-06-23	4
2012-06-24	7
2012-06-25	3
2012-06-26	4
2012-06-27	4
2012-06-28	5
2012-06-29	10
2012-06-30	5
2012-07-01	4
2012-07-02	7
2012-07-03	6
2012-07-04	4
2012-07-05	7
2012-07-06	9
2012-07-07	2
2012-07-08	9
2012-07-09	10
2012-07-10	8
2012-07-11	6
2012-07-12	12
2012-07-13	5
2012-07-14	2
2012-07-15	8
2012-07-16	6
2012-07-17	5
2012-07-18	9
2012-07-19	3
2012-07-20	5
2012-07-21	2
2012-07-22	2
2012-07-23	12
2012-07-24	7
2012-07-25	6
2012-07-26	5
2012-07-27	4
2012-07-28	2
2012-07-29	5
2012-07-30	3
2012-07-31	9
2012-08-01	4
2012-08-02	4
2012-08-03	8
2012-08-04	9
2012-08-05	3
2012-08-06	4
2012-08-07	9
2012-08-08	9
2012-08-09	3
2012-08-10	12
2012-08-11	6
2012-08-12	7
2012-08-13	7
2012-08-14	8
2012-08-15	12
2012-08-16	9
2012-08-17	2
2012-08-18	6
2012-08-19	9
2012-08-20	12
2012-08-21	14
2012-08-22	7
2012-08-23	10
2012-08-24	9
2012-08-25	8
2012-08-26	11
2012-08-27	15
2012-08-28	5
2012-08-29	11
2012-08-30	12
2012-08-31	25
2012-09-01	23
2012-09-02	10
2012-09-03	13
2012-09-04	12
2012-09-05	13
2012-09-06	13
2012-09-07	17
2012-09-08	13
2012-09-09	18
2012-09-10	11
2012-09-11	14
2012-09-12	10
2012-09-13	12
2012-09-14	8
2012-09-15	10
2012-09-16	8
2012-09-17	13
2012-09-18	17
2012-09-19	15
2012-09-20	13
2012-09-21	18
2012-09-22	10
2012-09-23	22
2012-09-24	12
2012-09-25	17
2012-09-26	17
2012-09-27	20
2012-09-28	12
2012-09-29	17
2012-09-30	23
2012-10-01	10
2012-10-02	12
2012-10-03	16
2012-10-04	19
2012-10-05	16
2012-10-06	24
2012-10-07	12
2012-10-08	14
2012-10-09	13
2012-10-10	16
2012-10-11	12
2012-10-12	9
2012-10-13	20
2012-10-14	13
2012-10-15	7
2012-10-16	13
2012-10-17	10
2012-10-18	9
2012-10-19	18
2012-10-20	9
2012-10-21	19
2012-10-22	11
2012-10-23	12
2012-10-24	5
2012-10-25	14
2012-10-26	15
2012-10-27	14
2012-10-28	16
2012-10-29	12
2012-10-30	12
2012-10-31	14
2012-11-01	11
2012-11-02	24
2012-11-03	15
2012-11-04	12
2012-11-05	10
2012-11-06	15
2012-11-07	9
2012-11-08	17
2012-11-09	9
2012-11-10	19
2012-11-11	18
2012-11-12	14
2012-11-13	15
2012-11-14	18
2012-11-15	16
2012-11-16	13
2012-11-17	15
2012-11-18	20
2012-11-19	10
2012-11-20	18
2012-11-21	10
2012-11-22	11
2012-11-23	10
2012-11-24	8
2012-11-25	11
2012-11-26	14
2012-11-27	10
2012-11-28	6
2012-11-29	12
2012-11-30	10
2012-12-01	10
2012-12-02	25
2012-12-03	14
2012-12-04	9
2012-12-05	8
2012-12-06	9
2012-12-07	15
2012-12-08	11
2012-12-09	16
2012-12-10	19
2012-12-11	21
2012-12-12	20
2012-12-13	18
2012-12-14	28
2012-12-15	14
2012-12-16	25
2012-12-17	18
2012-12-18	26
2012-12-19	22
2012-12-20	11
2012-12-21	6
2012-12-22	14
2012-12-23	14
2012-12-24	19
2012-12-25	16
2012-12-26	25
2012-12-27	17
2012-12-28	16
2012-12-29	16
2012-12-30	13
2012-12-31	12
2013-01-01	24
2013-01-02	21
2013-01-03	20
2013-01-04	18
2013-01-05	11
2013-01-06	22
2013-01-07	25
2013-01-08	30
2013-01-09	26
2013-01-10	23
2013-01-11	22
2013-01-12	11
2013-01-13	21
2013-01-14	21
2013-01-15	22
2013-01-16	21
2013-01-17	22
2013-01-18	30
2013-01-19	20
2013-01-20	22
2013-01-21	23
2013-01-22	28
2013-01-23	17
2013-01-24	25
2013-01-25	26
2013-01-26	10
2013-01-27	20
2013-01-28	18
2013-01-29	27
2013-01-30	14
2013-01-31	20
2013-02-01	20
2013-02-02	15
2013-02-03	30
2013-02-04	25
2013-02-05	23
2013-02-06	17
